,野代ん＃8626,malaysia,"100万人のサブおめでとうございます、私はあなたを知っていることを嬉しく思います、あなたは私にたくさんの喜びをもたらします。グーグル翻訳日本語でごめんなさい"
,Habakyan#2910,Germany,"チャンネル登録者数100万人突破おめでとう！止まるんじゃねぇぞ! 
I love Aqua!!!"
,Harutya#2897,Taiwan,"あくたんは俺を世界の闇から救い出してくれた。いつもありがとー！これからもずっと応援するから！大好きだ！！！台湾ニキのたつやより。"
,sulkydwarf#9135,United Kingdom,"Konaqua~ Congrats on 1 million subs, Aqua-chan! 2020 has been a hard year with the pandemic going around, but you have helped me get through it with your streams. Thank you for everything!"
,stanick#9730,France,"Aqua is always cute, fun, sings very good !! Very happy to meet you, thank you so much !!! OMEDETO !!!!!"
,DinoSon#2218,Germany,"Congratulation on 1M subs!!! Thank you for all your videos, they always make me feel happy. You are my number 1 vtuber!!! I am looking forward to your future videos!"
,Mefour#0004,United States Of America,"Congratulations, Aqua! I am happy to see you reach this milestone, and I hope to see you reach many more"
,Snow || DD-Hell#2402,Germany,"Congratulation on one million subs! ! ! I always enjoy your stream, your gimmicks put a smile on my face :D I'll see you again in Hololive IDOL PROJECT 1st Live.『Bloom,』! ! ! "
,CHEM#2768,Bulgaria,"Omedetou for 1,000,000 Subscribers!!! And thank you for making this amazing content for us! Much love from your fans from overseas!"
,あらた#1636,Philippines,"あくあちゃん100万人おめでとうございます！
いつも毎日笑顔にしてくれてありがとうございます！！
今後の配信を楽しみにしています！！！
Thank you and love you, Aqua-chan.
I will always be cheering for you."
,popularloon#1033,Spain,"あくあちゃん100万人登録者おめでとうございますーー！ 僕はいつあくあの配信を見ている、ゲームが得意でかわいいだから！いつもあくあが応援しています！(日本語下手でごめんなさい、まだまだ日本語を勉強しています！) Thank you for everything!!!"
,Houshou Baby s2#2222,Brazil,"Hey Aqua! If you are reading this, congratulations for your 1mil subscribers!!! All your effort to make your fans smile every day, it's incredible how you always was (and are) a wonderful girl, please continue like this, we all love will love you forever.
おめでとうございます!!!
だいづき!"
,0reoz#1036,Philippines,"Congratulations on 1 Million Subscribers! Watching your streams and concerts are so much fun! Minato Aqua will always be my favorite vtuber!~"
,Miyuki#5434,Singapore,"Congratulations on 1 million subscribers Aqua!!!!
I have watched you grow for 2 years, I am so happy for you T_T!
Thank you for always doing your best!!!!
I will always support you ~~
I love you!!!! ♡♡♡
おめでとう100万人の加入者!!!
いつも頑張ってくれてありがとう!
私はいつもあなたを支えるつもりだ ~~
あくあ好き!!! ♡♡♡"
,jakemoshi#2787,Singapore,"Hi Aqua! Ever since I watched one of your streams once, I've been addicted to you so much. Thank you for giving me so much joy and I hope you will continue to be a vtuber as long as possible!"
,NEEE VIRUS#6340,Philippines,"Congratulations on 1 million subscribers Aqua! You always make us happy!! Also Shion and Aqua is best couple!!!!!!"
,Best Girl#3633,Philippines,"こんにちは湊あく

Thanks for always making my day and making me happy with your every streams. I will continue to support you

湊あくまありがとうございます"
,Cursed#3362,Mexico,"こんあくあ～！Congratulations on reaching 1 million subscribers! I'm really happy. メキシコからの挨拶！I love you!"
,Mitz | ミツ#5613,Singapore,"あくたん！　100万人おめでとうございます！　あなたの配信はいつも私の一日を笑顔にしてくれています。いつもゲームを見るのを楽しみにしています。あなたは私たちの大切な玉ねぎです。

最後にあくたんにはもっと新しいホラーゲームをプレイしてもらいたいです。"
,LunarRez#4440,United States Of America,"The greatest gamer maid in the world! Thank you for bringing happiness and joy to all of us. You have helped me as well as many others. We love you Aqua, thank you!!!
ありがとうございます！あなたは最高です!"
,Ziezie13#2805,Philippines,"あくあちゃん100万人おめでとうございます！

Congratulations on 1 million subs Aqua chan! ^-^ "
,AoiSora#5038,Indonesia,"Congratulations on 1M our lovely onion! please dont retire from minecraft!! Akukin kensetsu need you (and kanatan too as CEO) XD"
,miyuki_soran#8156,Malaysia,"あくたんは最高のたまねぎ、がんばれ.That maybe real bad japanese but I tried my best I love you Aqua. You are the best"
,WhaleEggs#8451,United States Of America,"Aquaaaaaaaaa!! arigatou!! for your streams and your music! DAISUKI! Arigatou Gonzaimasu! HAPPY 1M SUBSCRIBERS! Thank you Yasai-Senpai."
,tymnn#9454,Poland,"こんあくあ！！Thank you Aqua for your streams!! When I'm sad, you always make me smile. You made this year a little better for me. ありがとうとおめでとう！！！"
,Kokoro#8404,Hong Kong,"あくたん100万人登録者おめでとうございます!!!!!!!!!!!!!!
夜勤事件配信の切り抜きにあくあちゃんを知ってた、あくたんいろいろの配信はめっちゃ楽しい、歌枠配信は一番すき!!!! AMT!!AMT!!( ^)o(^ )
Your smile and cuteness makes me smile too, I hope you can continue to bring us happiness. Keep up the good work Aqua-chan!!!!!!!!!
一億登録者目指して!!!!!!!!!!!!!"
,Nepu#7697,Malaysia,"Hi, I'm Nep.
The moment you caught me was when you were playing Apex Legends I saw you were really good on gaming and have a nice voice that's why I subscribe to you. I've been a fan of yours for like 2 months ago. Also you're reaching 1 million subscribers milestone soon so I don't have anything to give like arts because I'm not that good that's why I'm writing this message. Wish you luck

Your fan,
Nep"
,yacob⛧#0002,Northern Mariana Islands,"おめだとう to our onion who reached 1m!! すべての笑いと素晴らしいストリームをありがとう。来年はもっと良い年になりますように。愛してるアクア〜❤️

Much love from Saipan"
,Sini#3531,Chile,"100万人おめでとう！My first Aqua stream was ""Jump King"" and was really happy seeing Aqua finally win, after I knew that Aqua was the one I needed to root for. あくあちゃんの笑う私にとても嬉しい, Aqua's laugh makes me really happy, I'm sorry for my poor japanese, I'm still learning. I hope your future is becomes even brighter!"
,Ricetaku#4568,United States Of America,"私は日本語が苦手で、まだまだ自分の能力に取り組んでいますが、英語よりも日本語の方が読みやすいと思いますので、これが私の試みです。 100万人の加入者の皆さん、おめでとうございます そして あなたの素晴らしい個性を共有していただきありがとうございます。^-^"
,Milk/Mika#4683,Canada,"こんにちは、これがグーグル翻訳を使っている英語の視聴者である奇妙な日本人であるならば申し訳ありません、しかし私はただ私がどれほど感謝しているかを言いたかっただけです。私は人生のほとんどの間うつ病に苦しんでいますが、あなたの蒸気を見つけるとすぐに、私の精神的健康は改善しました。私はあなたにどれほど感謝しているかを言いたいと思います。そして、ホロライブの誰もが、私の日に楽しみにしてくれる何かをくれました。私たちがどれだけあなたを愛しているか、そして私たちがどれほど幸せかわからないので、あなたがしていることを止めないでください。とにかく、日本語が苦手でごめんなさい！ Thank you!!!!!!!"
,Nanami#0001,France,"Hi Aqua ! Congratulation on your 1M subscribers !! I love your streams and wish you the best for 2021 !"
,ShorkCat#5811,Malaysia,"Hello Aqua-senpai, 
Congratulations on getting 1M subs! May your journey continue on as you push on to be the ideal idol that everyone appreciates up till now.I hope for the best for you and look forward to all your upcoming and exiting streams!!! I especially enjoy it when you play Apex Legends as it gives me motivation to continue to strive to be better."
,Zchion#2024,Philippines,"100万おめでとうございます ~   私の毎日を幸せで満たしてくれてありがとうございます !   これからも応援しています ~   ありがとうございます！すきです <3"
,Rakuen#4723,United States Of America,"Omedetou, Aqua!  I have watched you since March 2020, and I am happy to be part of the Aqua Crew.  You always do your best, and that inspires me.  I have seen you reach so many goals as a gamer, idol, and talent in such a short time.  Now you have 100,0000 subs!  I look forward to what you will do in 2021.  Ganbatte kudasai!"
,Kayumi#3646,Germany,"１００万人おめでとうぅぅ！
Thank you Aqua for making my year 2020 so much better! You and all of your friends really helped me in this hard year. Now all your hard work paid off and you reached this huge milestone! You will always have a huge fan in me and I will always cheer for you. I'm looking forward to many more funny, wholesome and happy moments!
ドイツからのご挨拶です！"
,DigiCak3#2294,Singapore,"Hello Aqua. The journey to 1 million has been a rough one, with many ups and downs, happy and sad moments. Though you may not know us, we as fans has been through lots of it. Though you may not know us, as fans you have both made us laugh, and cry. Before we know it, you have been a big part of our lives. Though to you we fans may be strangers, but to us, you are like a true best friend.

You may not be aware of it, but thank you for this wonderful journey. We won't know whats up ahead, but we will continue our support :DD"
,flashjet10#1800,Australia,"Hey Aqua, I want to congratulate you first on 1 million subscribers and your performance in the recent concert. I love your voice and your singing streams. Please make sure that you are always enjoying what you are doing! PS: I also love Sword Art Online."
,kaconk#2089,Indonesia,"Congrats Aqua!!! You've been my mood booster even I can't understand what you said. I hope you speak english more often(or I should study japanese language teehee XD). I know you've been working hard. Keep it up your great work and please always be my sunshine in my gloomy days................"
,Hobo#0522,Ireland,"こんあくあ~ ⚓️ Wow!! Congratulations on reaching 1M!! It's all thanks to your hard work Aqua, I hope you reach all your goals in the future! Do your best! おめでとう!!"
,Chia#4068,Taiwan,"Congratulations on 1 million subscriptions.When I know Aqua, I feel some thing different in my life.I get lot of fun from you.I hope you also can have fun every day."
,あおそら#2771,Taiwan,"あくたんチャンネル登録者100万人おめでとう！！いつも元気をくれて本当にありがとう！可愛さはもちろん、頑張り屋でストイックなあくたんも大好きだよ！これからも楽しい毎日を過ごそう！でも体調は気を付けてね！"
,(」・ω・)」うー ! (/・ω・)/にゃー! #0580,United States Of America,"Konaqua~ Congratulations on reaching 1 million subscribers - it is so good to see you hit such a historic landmark! Your determination and all the hard work inspire me to do my best. Wish you the best going forward as we go for 2 million, 3 million subs and so forth! Though please remember, your health and happiness is the most important - we are happy when you are happy :)"
,Nemis#3974,Spain,"Im so happy to see the solo onion reach 1M, cuz it was a road full of obstacles and downhills, im glad there are so many people next to u supporting u, i just wish i could hear u sing 'For the win' on the stage someday, and best of luck, to our onion princess <3"
,Hyped#7441,Indonesia,"Congratulations aqua on reaching 1 million subscribers! It has been a long journey for you, and you really deserve it! I hope you can be recognized by more people and reach even greater heights! We'll always continue to support you, so please keep on doing your best!"
,Kae#0572,USA,"Aqua suki! Thank you for vtubing and bringing happiness to everyone! I wish you a happy 2021 :) I will be signing up for your membership soon, so please wait for me!"
,richardxd#8648,United States Of America,"こんあくあ!! You are super fun to watch when playing Apex, Minecraft, or any other game you enjoy. あなたは素晴らしいゲーマーです！I started playing Apex because of you! Keep up the great work for 2021!!
"
,Biggest Aqua simp#5651,Canada,"こんなに楽しいストリームを作ってくれてありがとう！日本語は話せませんが、いつも見ていて楽しいです。グーグル翻訳を使っていたので日本語が下手でごめんなさい。 100万アクアをヒットしておめでとうございます！
"
,WaifuMaster9000 #1634,Serbia,"Congrats on 1 million subscribers Aqua!! I've been a fan for a while now and your streams always put a smile on my face. Especially your karaoke streams, your singing is beautiful. I LOVE YOU!!!"
,Suifer#0122,United States Of America,"Congrats on 1 Million subs Aqua!!! I love to watch your streams, it always makes me happy and helps me get through my day. I hope you continue to have fun in 2021, and make everyone smile and laugh!! Love you~

100万人おめでとう！僕はあくあの配信が大好きで、いつも私を幸せにし、一日を乗り切る力になる。あなたの２０２１年も楽しく過ごして、皆を笑顔にして笑わせるように！好きだよ～"
